method,sample_a,sample_b,dice,iou,boundary_f1_tolerance_3px,absolute_area_difference_px
Visión clásica,real_28,real_32,0.9890045510807179,0.9782482721736565,0.95494600951734,2803
Visión clásica,real_28,real_34,0.9835997348271884,0.9677287270876043,0.7841383684267292,3895
Visión clásica,real_28,real_36,0.9738141736169728,0.9489647474954438,0.5659668583849488,23847
Visión clásica,real_28,real_38,0.9686918359371224,0.9392845608056899,0.5293598398628153,29943
Visión clásica,real_30,real_32,0.9840399962881768,0.9685814330219435,0.8218984040111946,3397
Visión clásica,real_30,real_34,0.9886252093398171,0.9775062800354003,0.921831413964795,3301
Visión clásica,real_30,real_36,0.9706474056776656,0.9429688243188263,0.487582154800629,23253
Visión clásica,real_30,real_38,0.9654318267109494,0.9331737159878926,0.45924456468363734,29349
Visión clásica,real_32,real_34,0.9737137072592998,0.9487739572736521,0.5129693119463343,6698
Visión clásica,real_32,real_36,0.9712120264046652,0.9440351669455687,0.4992079665981985,26650
Visión clásica,real_32,real_38,0.968012776536106,0.9380084893754245,0.4989145302155286,32746
Visión clásica,real_34,real_36,0.9700990801672744,0.9419343759056318,0.4946196888180255,19952
Visión clásica,real_34,real_38,0.9614923660120621,0.9258404411721731,0.4082348322512909,26048
Visión clásica,real_36,real_38,0.9845154329828906,0.9695030972994618,0.8742035696652646,6096
Random Forest IDV2,real_20,real_22,0.9980095470713233,0.9960270022077378,0.2571198941321983,6699
Random Forest IDV2,real_20,real_24,0.9981783010464256,0.9963632271980589,0.5879358911693288,1921
Random Forest IDV2,real_20,real_26,0.998204172335477,0.9964147831026415,0.7757084017441876,2405
Random Forest IDV2,real_20,real_28,0.998040811381275,0.996089284591669,0.31727931575863094,7267
Random Forest IDV2,real_20,real_30,0.9981251926970123,0.9962574020440046,0.5583036271959417,2600
Random Forest IDV2,real_20,real_32,0.9975974440709601,0.9952064050219561,0.6948407259368737,2873
Random Forest IDV2,real_20,real_34,0.9985388776810896,0.9970820188895059,0.32623794224981034,14913
Random Forest IDV2,real_20,real_36,0.9985933405488653,0.9971906329204847,0.018983877096973457,17250
Random Forest IDV2,real_20,real_38,0.9764858590792637,0.9540521425535295,0.07840287399801138,252205
Random Forest IDV2,real_22,real_24,0.9975883940761765,0.9951883918550585,0.0,8620
Random Forest IDV2,real_22,real_26,0.9979921782191262,0.9959924029788404,0.16805578328035525,4294
Random Forest IDV2,real_22,real_28,0.9985942544144153,0.9971924555220868,0.5588754774890305,568
Random Forest IDV2,real_22,real_30,0.9979524458788686,0.9959132595799263,0.0,4099
Random Forest IDV2,real_22,real_32,0.9975732614494949,0.9951582725057511,0.1509255893889514,9572
Random Forest IDV2,real_22,real_34,0.9989446925821278,0.9978916101636897,0.05299607610173996,8214
Random Forest IDV2,real_22,real_36,0.9991303169396593,0.9982621452621453,0.0,10551
Random Forest IDV2,real_22,real_38,0.977026016536728,0.9550839340302797,0.009323191555417571,258904
Random Forest IDV2,real_24,real_26,0.9981449707452658,0.9962968110144357,0.6286941148995586,4326
Random Forest IDV2,real_24,real_28,0.9976341465884124,0.9952794612794613,0.0,9188
Random Forest IDV2,real_24,real_30,0.9985180738319974,0.9970405333750296,0.796822313593878,4521
Random Forest IDV2,real_24,real_32,0.9979333170237642,0.9958751587866437,0.6557518439972979,952
Random Forest IDV2,real_24,real_34,0.9983604508888547,0.9967262692200997,0.30607215019592726,16834
Random Forest IDV2,real_24,real_36,0.9984435395892952,0.9968919167870645,0.041278528321889434,19171
Random Forest IDV2,real_24,real_38,0.9767335249008501,0.9545250906477798,0.19035655319889483,250284
Random Forest IDV2,real_26,real_28,0.998257032517935,0.9965201303355369,0.2541896550159626,4862
Random Forest IDV2,real_26,real_30,0.9984888563097221,0.9969822728388027,0.6498163275121198,195
Random Forest IDV2,real_26,real_32,0.9980864627489721,0.9961802347610191,0.7502015016768063,5278
Random Forest IDV2,real_26,real_34,0.998725487756221,0.9974542201400436,0.4035597589484462,12508
Random Forest IDV2,real_26,real_36,0.9987882525754549,0.9975794382603638,0.047871747520857516,14845
Random Forest IDV2,real_26,real_38,0.976688949393129,0.9544399513851699,0.10199447067320451,254610
Random Forest IDV2,real_28,real_30,0.9979981651654712,0.996004329004329,0.0,4667
Random Forest IDV2,real_28,real_32,0.9977177033731219,0.9954458007797623,0.21813126356215484,10140
Random Forest IDV2,real_28,real_34,0.9990198526777747,0.9980416248517069,0.09352151133766884,7646
Random Forest IDV2,real_28,real_36,0.9991759288091068,0.998353214686548,0.0,9983
Random Forest IDV2,real_28,real_38,0.9770682535098031,0.9551646596776793,0.010490080288426807,259472
Random Forest IDV2,real_30,real_32,0.9978174183505523,0.9956443432775383,0.5685111485551599,5473
Random Forest IDV2,real_30,real_34,0.9987898103233394,0.997582546224282,0.40303977460453166,12313
Random Forest IDV2,real_30,real_36,0.998804243850781,0.9976113439517202,0.045318617835414,14650
Random Forest IDV2,real_30,real_38,0.9768792381903699,0.9548034549338328,0.14066416621867003,254805
Random Forest IDV2,real_32,real_34,0.998229093748966,0.9964644486279576,0.22894296956764337,17786
Random Forest IDV2,real_32,real_36,0.9983719552652653,0.9967492029735132,0.04208218344271759,20123
Random Forest IDV2,real_32,real_38,0.9764004565281373,0.9538891090321957,0.1566640329969503,249332
Random Forest IDV2,real_34,real_36,0.9997901594651752,0.9995804069779747,0.06864966785232313,2337
Random Forest IDV2,real_34,real_38,0.9777018698696599,0.9563764630431297,0.008959857853996313,267118
Random Forest IDV2,real_36,real_38,0.9779012356098368,0.9567580645626776,0.012134663243395868,269455
SAM 2 operativo,real_20,real_22,0.99329439043892,0.98667811225567,0.9689292645813877,1771
SAM 2 operativo,real_20,real_24,0.9934063830108836,0.9868991480219416,0.9570415400842855,1346
SAM 2 operativo,real_20,real_26,0.9893283257828803,0.9788820158131253,0.9530252291008038,4349
SAM 2 operativo,real_20,real_28,0.98993443402551,0.9800694800148365,0.9408622801290469,13487
SAM 2 operativo,real_20,real_30,0.9869225915307864,0.9741828050652638,0.918497321477323,6595
SAM 2 operativo,real_20,real_32,0.9847052636027931,0.9698713371616984,0.8321163456348158,1225
SAM 2 operativo,real_20,real_34,0.9833386481369569,0.9672233987600474,0.8032750306139462,13572
SAM 2 operativo,real_20,real_36,0.9740190069790251,0.9493538511966493,0.4810881061789674,18157
SAM 2 operativo,real_20,real_38,0.9743604602891657,0.9500028251288694,0.5551792820760653,15330
SAM 2 operativo,real_22,real_24,0.9899295445815243,0.9800598951004789,0.9298215350305639,3117
SAM 2 operativo,real_22,real_26,0.9865422082740414,0.9734418308570317,0.906152352802436,6120
SAM 2 operativo,real_22,real_28,0.9912603262610925,0.9826720927778843,0.9669835855306104,11716
SAM 2 operativo,real_22,real_30,0.9835082996457338,0.9675517264951233,0.8551163221940312,8366
SAM 2 operativo,real_22,real_32,0.9849654686974568,0.9703763156052432,0.8413369748648462,2996
SAM 2 operativo,real_22,real_34,0.9806568809230937,0.9620478743322012,0.6875628174747891,11801
SAM 2 operativo,real_22,real_36,0.9737521634361209,0.9488469829047084,0.4866382515806586,16386
SAM 2 operativo,real_22,real_38,0.9751163536102688,0.9514410314236418,0.5746226005280601,13559
SAM 2 operativo,real_24,real_26,0.9902704363015832,0.980728377085881,0.9562901842178424,3003
SAM 2 operativo,real_24,real_28,0.9887912353288438,0.9778309582298741,0.9173619007419423,14833
SAM 2 operativo,real_24,real_30,0.9885794841263943,0.9774168791430115,0.929171160225666,5249
