sample_id,method,repetition,total_seconds,prompt_localization_seconds,encoder_seconds,decoder_seconds,postprocess_seconds,sam_total_seconds,input_width_px,input_height_px,device
real_28,sam2_operativo_hibrido,2,1.9744612999929814,0.2074395999952685,0.9971572000067681,0.6632677000015974,0.1065385999972932,1.7670216999977129,2100,2970,cpu
real_28,sam2_operativo_hibrido,3,1.997313200001372,0.20844509999733418,1.0358115999988513,0.6387182000034954,0.11429170001065359,1.7888681000040378,2100,2970,cpu
real_28,sam2_operativo_hibrido,4,2.092485700006364,0.20252669999899808,1.0340877000126056,0.7495746999920812,0.10624039999675006,1.8899590000073658,2100,2970,cpu
real_28,sam2_operativo_hibrido,5,2.283163500003866,0.2349289999983739,1.1971918000053847,0.721516799996607,0.12946099998953287,2.048234500005492,2100,2970,cpu
real_38,vision_clasica,1,0.1208799000014551,,,,,,2100,2970,cpu
real_38,vision_clasica,2,0.11290519998874515,,,,,,2100,2970,cpu
real_38,vision_clasica,3,0.11243249999824911,,,,,,2100,2970,cpu
real_38,vision_clasica,4,0.11105120000138413,,,,,,2100,2970,cpu
real_38,vision_clasica,5,0.11172210000222549,,,,,,2100,2970,cpu
real_38,random_forest_identity_v2,1,16.008055199999944,,,,,,2100,2970,cpu
real_38,random_forest_identity_v2,2,15.502205100012361,,,,,,2100,2970,cpu
real_38,random_forest_identity_v2,3,15.391866399993887,,,,,,2100,2970,cpu
real_38,random_forest_identity_v2,4,15.403756100000464,,,,,,2100,2970,cpu
real_38,random_forest_identity_v2,5,12.200311599997804,,,,,,2100,2970,cpu
real_38,sam2_operativo_hibrido,1,1.8029325000097742,0.14146420000179205,0.9342953000013949,0.6141496000054758,0.11296699999365956,1.6614683000079822,2100,2970,cpu
real_38,sam2_operativo_hibrido,2,2.005791399991722,0.2152827999962028,0.993560000002617,0.6950186000030953,0.1018748000060441,1.790508599995519,2100,2970,cpu
real_38,sam2_operativo_hibrido,3,1.998290100003942,0.21013820001098793,1.038306599992211,0.6502078000048641,0.09957299999950919,1.788151899992954,2100,2970,cpu
real_38,sam2_operativo_hibrido,4,1.967038600007072,0.20647920000192244,1.027201300006709,0.6273584000009578,0.10594449999916833,1.7605594000051497,2100,2970,cpu
real_38,sam2_operativo_hibrido,5,2.034055799987982,0.22070519998669624,1.0600657000031788,0.6606908999965526,0.09254549999604933,1.8133506000012858,2100,2970,cpu
